File version,2
Missing data value,-9999
EOM
Project name,Chowilla and Pike_4.7_NoWeirs
Source version,5.1.1.11020
Latest result run time,2020-09-25 16:55:56
Simulation time,2015-07-01 - 2017-07-01
Field,Units,RunName,ScenarioName,ScenarioInputSetName,Name,Site,ElementName,WaterFeatureType,ElementType,Structure,Custom
EOC
233
1,m^3.s^-1,,Scenario 1,,Confluence: Confluence 12: Downstream Flow,Confluence 12,Downstream Flow,Confluence,Node,Downstream Flow,08124ee7-af8a-44c8-96f8-086a30a5447e,
2,m^3,,Scenario 1,,Confluence: Confluence 12: Downstream Flow Volume,Confluence 12,Downstream Flow Volume,Confluence,Node,Downstream Flow Volume,08124ee7-af8a-44c8-96f8-086a30a5447e,
3,m^3,,Scenario 1,,Confluence: Confluence 12: Storage Volume,Confluence 12,Storage Volume,Confluence,Node,Storage Volume,08124ee7-af8a-44c8-96f8-086a30a5447e,
4,m^3.s^-1,,Scenario 1,,Confluence: Confluence 12: Upstream Flow,Confluence 12,Upstream Flow,Confluence,Node,Upstream Flow,08124ee7-af8a-44c8-96f8-086a30a5447e,
5,m^3,,Scenario 1,,Confluence: Confluence 12: Upstream Flow Volume,Confluence 12,Upstream Flow Volume,Confluence,Node,Upstream Flow Volume,08124ee7-af8a-44c8-96f8-086a30a5447e,
6,m^3.s^-1,,Scenario 1,,Confluence: Confluence 13: Downstream Flow,Confluence 13,Downstream Flow,Confluence,Node,Downstream Flow,08124ee7-af8a-44c8-96f8-086a30a5447e,
7,m^3,,Scenario 1,,Confluence: Confluence 13: Downstream Flow Volume,Confluence 13,Downstream Flow Volume,Confluence,Node,Downstream Flow Volume,08124ee7-af8a-44c8-96f8-086a30a5447e,
8,m^3,,Scenario 1,,Confluence: Confluence 13: Storage Volume,Confluence 13,Storage Volume,Confluence,Node,Storage Volume,08124ee7-af8a-44c8-96f8-086a30a5447e,
9,m^3.s^-1,,Scenario 1,,Confluence: Confluence 13: Upstream Flow,Confluence 13,Upstream Flow,Confluence,Node,Upstream Flow,08124ee7-af8a-44c8-96f8-086a30a5447e,
10,m^3,,Scenario 1,,Confluence: Confluence 13: Upstream Flow Volume,Confluence 13,Upstream Flow Volume,Confluence,Node,Upstream Flow Volume,08124ee7-af8a-44c8-96f8-086a30a5447e,
11,m^3.s^-1,,Scenario 1,,Confluence: Confluence 15: Downstream Flow,Confluence 15,Downstream Flow,Confluence,Node,Downstream Flow,08124ee7-af8a-44c8-96f8-086a30a5447e,
12,m^3,,Scenario 1,,Confluence: Confluence 15: Downstream Flow Volume,Confluence 15,Downstream Flow Volume,Confluence,Node,Downstream Flow Volume,08124ee7-af8a-44c8-96f8-086a30a5447e,
13,m^3,,Scenario 1,,Confluence: Confluence 15: Storage Volume,Confluence 15,Storage Volume,Confluence,Node,Storage Volume,08124ee7-af8a-44c8-96f8-086a30a5447e,
14,m^3.s^-1,,Scenario 1,,Confluence: Confluence 15: Upstream Flow,Confluence 15,Upstream Flow,Confluence,Node,Upstream Flow,08124ee7-af8a-44c8-96f8-086a30a5447e,
15,m^3,,Scenario 1,,Confluence: Confluence 15: Upstream Flow Volume,Confluence 15,Upstream Flow Volume,Confluence,Node,Upstream Flow Volume,08124ee7-af8a-44c8-96f8-086a30a5447e,
16,m^3.s^-1,,Scenario 1,,Confluence: Confluence 16: Downstream Flow,Confluence 16,Downstream Flow,Confluence,Node,Downstream Flow,08124ee7-af8a-44c8-96f8-086a30a5447e,
17,m^3,,Scenario 1,,Confluence: Confluence 16: Downstream Flow Volume,Confluence 16,Downstream Flow Volume,Confluence,Node,Downstream Flow Volume,08124ee7-af8a-44c8-96f8-086a30a5447e,
18,m^3,,Scenario 1,,Confluence: Confluence 16: Storage Volume,Confluence 16,Storage Volume,Confluence,Node,Storage Volume,08124ee7-af8a-44c8-96f8-086a30a5447e,
19,m^3.s^-1,,Scenario 1,,Confluence: Confluence 16: Upstream Flow,Confluence 16,Upstream Flow,Confluence,Node,Upstream Flow,08124ee7-af8a-44c8-96f8-086a30a5447e,
20,m^3,,Scenario 1,,Confluence: Confluence 16: Upstream Flow Volume,Confluence 16,Upstream Flow Volume,Confluence,Node,Upstream Flow Volume,08124ee7-af8a-44c8-96f8-086a30a5447e,
21,kg.m^-3,,Scenario 1,,Confluence: Confluence 29: Downstream Flow Concentration,Confluence 29,Constituents,Confluence,Node,Constituents@DOC@Downstream Flow Concentration,08124ee7-af8a-44c8-96f8-086a30a5447e,
22,kg.m^-3,,Scenario 1,,Confluence: Confluence 29: Downstream Flow Concentration,Confluence 29,Constituents,Confluence,Node,Constituents@Refract@Downstream Flow Concentration,08124ee7-af8a-44c8-96f8-086a30a5447e,
23,m^3.s^-1,,Scenario 1,,Confluence: Confluence 5: Downstream Flow,Confluence 5,Downstream Flow,Confluence,Node,Downstream Flow,08124ee7-af8a-44c8-96f8-086a30a5447e,
24,m^3,,Scenario 1,,Confluence: Confluence 5: Downstream Flow Volume,Confluence 5,Downstream Flow Volume,Confluence,Node,Downstream Flow Volume,08124ee7-af8a-44c8-96f8-086a30a5447e,
25,m^3,,Scenario 1,,Confluence: Confluence 5: Storage Volume,Confluence 5,Storage Volume,Confluence,Node,Storage Volume,08124ee7-af8a-44c8-96f8-086a30a5447e,
26,m^3.s^-1,,Scenario 1,,Confluence: Confluence 5: Upstream Flow,Confluence 5,Upstream Flow,Confluence,Node,Upstream Flow,08124ee7-af8a-44c8-96f8-086a30a5447e,
27,m^3,,Scenario 1,,Confluence: Confluence 5: Upstream Flow Volume,Confluence 5,Upstream Flow Volume,Confluence,Node,Upstream Flow Volume,08124ee7-af8a-44c8-96f8-086a30a5447e,
28,m^3.s^-1,,Scenario 1,,Controlled Splitter: BankB Offtake: Downstream Flow,BankB Offtake,Downstream Flow,Controlled Splitter,Node,Downstream Flow,08124ee7-af8a-44c8-96f8-086a30a5447e,
29,m^3,,Scenario 1,,Controlled Splitter: BankB Offtake: Downstream Flow Volume,BankB Offtake,Downstream Flow Volume,Controlled Splitter,Node,Downstream Flow Volume,08124ee7-af8a-44c8-96f8-086a30a5447e,
30,m^3,,Scenario 1,,Controlled Splitter: BankB Offtake: Storage Volume,BankB Offtake,Storage Volume,Controlled Splitter,Node,Storage Volume,08124ee7-af8a-44c8-96f8-086a30a5447e,
31,m^3.s^-1,,Scenario 1,,Controlled Splitter: BankB Offtake: Upstream Flow,BankB Offtake,Upstream Flow,Controlled Splitter,Node,Upstream Flow,08124ee7-af8a-44c8-96f8-086a30a5447e,
32,m^3,,Scenario 1,,Controlled Splitter: BankB Offtake: Upstream Flow Volume,BankB Offtake,Upstream Flow Volume,Controlled Splitter,Node,Upstream Flow Volume,08124ee7-af8a-44c8-96f8-086a30a5447e,
33,m^3.s^-1,,Scenario 1,,Controlled Splitter: Pike Inlet: Downstream Flow,Pike Inlet,Downstream Flow,Controlled Splitter,Node,Downstream Flow,08124ee7-af8a-44c8-96f8-086a30a5447e,
34,m^3,,Scenario 1,,Controlled Splitter: Pike Inlet: Downstream Flow Volume,Pike Inlet,Downstream Flow Volume,Controlled Splitter,Node,Downstream Flow Volume,08124ee7-af8a-44c8-96f8-086a30a5447e,
35,m^3,,Scenario 1,,Controlled Splitter: Pike Inlet: Storage Volume,Pike Inlet,Storage Volume,Controlled Splitter,Node,Storage Volume,08124ee7-af8a-44c8-96f8-086a30a5447e,
36,m^3.s^-1,,Scenario 1,,Controlled Splitter: Pike Inlet: Upstream Flow,Pike Inlet,Upstream Flow,Controlled Splitter,Node,Upstream Flow,08124ee7-af8a-44c8-96f8-086a30a5447e,
37,m^3,,Scenario 1,,Controlled Splitter: Pike Inlet: Upstream Flow Volume,Pike Inlet,Upstream Flow Volume,Controlled Splitter,Node,Upstream Flow Volume,08124ee7-af8a-44c8-96f8-086a30a5447e,
38,m^3.s^-1,,Scenario 1,,Controlled Splitter: Rump Splitter 1: Downstream Flow,Rump Splitter 1,Downstream Flow,Controlled Splitter,Node,Downstream Flow,08124ee7-af8a-44c8-96f8-086a30a5447e,
39,m^3,,Scenario 1,,Controlled Splitter: Rump Splitter 1: Downstream Flow Volume,Rump Splitter 1,Downstream Flow Volume,Controlled Splitter,Node,Downstream Flow Volume,08124ee7-af8a-44c8-96f8-086a30a5447e,
40,m^3,,Scenario 1,,Controlled Splitter: Rump Splitter 1: Storage Volume,Rump Splitter 1,Storage Volume,Controlled Splitter,Node,Storage Volume,08124ee7-af8a-44c8-96f8-086a30a5447e,
