Grouping,Blackbox,HighShrub,Lignum,LowShrub,Redgum
2,21047.5,17436.24,8545.48,379224.05,778942.93
3.5,36930.47,27941.69,26927.3,549297.75,1901259.97
4.5,352152.9,160535.2,807541.1,1214728.3,5634662.6
6,772928.6,468721.7,1817062.3,1888934.4,9687502.9
7,833942.1,468721.7,2068462.8,1939661.4,10688421.7
