File version,2
Missing data value,-9999
EOM
Project name,Chowilla and Pike_4.7_NoWeirs
Source version,5.4.0.11476
Latest result run time,2021-03-01 13:24:45
Simulation time,2013-01-02 - 2017-07-01
Field,Units,RunName,ScenarioName,ScenarioInputSetName,Name,Site,ElementName,WaterFeatureType,ElementType,Structure,Custom
EOC
229
1,m^3.s^-1,,Lumped,,Confluence: Confluence 12: Downstream Flow,Confluence 12,Downstream Flow,Confluence,Node,Downstream Flow,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
2,m^3,,Lumped,,Confluence: Confluence 12: Downstream Flow Volume,Confluence 12,Downstream Flow Volume,Confluence,Node,Downstream Flow Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
3,m^3,,Lumped,,Confluence: Confluence 12: Storage Volume,Confluence 12,Storage Volume,Confluence,Node,Storage Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
4,m^3.s^-1,,Lumped,,Confluence: Confluence 12: Upstream Flow,Confluence 12,Upstream Flow,Confluence,Node,Upstream Flow,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
5,m^3,,Lumped,,Confluence: Confluence 12: Upstream Flow Volume,Confluence 12,Upstream Flow Volume,Confluence,Node,Upstream Flow Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
6,m^3.s^-1,,Lumped,,Confluence: Confluence 13: Downstream Flow,Confluence 13,Downstream Flow,Confluence,Node,Downstream Flow,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
7,m^3,,Lumped,,Confluence: Confluence 13: Downstream Flow Volume,Confluence 13,Downstream Flow Volume,Confluence,Node,Downstream Flow Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
8,m^3,,Lumped,,Confluence: Confluence 13: Storage Volume,Confluence 13,Storage Volume,Confluence,Node,Storage Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
9,m^3.s^-1,,Lumped,,Confluence: Confluence 13: Upstream Flow,Confluence 13,Upstream Flow,Confluence,Node,Upstream Flow,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
10,m^3,,Lumped,,Confluence: Confluence 13: Upstream Flow Volume,Confluence 13,Upstream Flow Volume,Confluence,Node,Upstream Flow Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
11,m^3.s^-1,,Lumped,,Confluence: Confluence 15: Downstream Flow,Confluence 15,Downstream Flow,Confluence,Node,Downstream Flow,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
12,m^3,,Lumped,,Confluence: Confluence 15: Downstream Flow Volume,Confluence 15,Downstream Flow Volume,Confluence,Node,Downstream Flow Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
13,m^3,,Lumped,,Confluence: Confluence 15: Storage Volume,Confluence 15,Storage Volume,Confluence,Node,Storage Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
14,m^3.s^-1,,Lumped,,Confluence: Confluence 15: Upstream Flow,Confluence 15,Upstream Flow,Confluence,Node,Upstream Flow,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
15,m^3,,Lumped,,Confluence: Confluence 15: Upstream Flow Volume,Confluence 15,Upstream Flow Volume,Confluence,Node,Upstream Flow Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
16,m^3.s^-1,,Lumped,,Confluence: Confluence 16: Downstream Flow,Confluence 16,Downstream Flow,Confluence,Node,Downstream Flow,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
17,m^3,,Lumped,,Confluence: Confluence 16: Downstream Flow Volume,Confluence 16,Downstream Flow Volume,Confluence,Node,Downstream Flow Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
18,m^3,,Lumped,,Confluence: Confluence 16: Storage Volume,Confluence 16,Storage Volume,Confluence,Node,Storage Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
19,m^3.s^-1,,Lumped,,Confluence: Confluence 16: Upstream Flow,Confluence 16,Upstream Flow,Confluence,Node,Upstream Flow,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
20,m^3,,Lumped,,Confluence: Confluence 16: Upstream Flow Volume,Confluence 16,Upstream Flow Volume,Confluence,Node,Upstream Flow Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
21,kg.m^-3,,Lumped,,Confluence: Confluence 29: Downstream Flow Concentration,Confluence 29,Constituents,Confluence,Node,Constituents@DOC@Downstream Flow Concentration,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
22,kg.m^-3,,Lumped,,Confluence: Confluence 29: Downstream Flow Concentration,Confluence 29,Constituents,Confluence,Node,Constituents@Refract@Downstream Flow Concentration,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
23,m^3.s^-1,,Lumped,,Confluence: Confluence 5: Downstream Flow,Confluence 5,Downstream Flow,Confluence,Node,Downstream Flow,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
24,m^3,,Lumped,,Confluence: Confluence 5: Downstream Flow Volume,Confluence 5,Downstream Flow Volume,Confluence,Node,Downstream Flow Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
25,m^3,,Lumped,,Confluence: Confluence 5: Storage Volume,Confluence 5,Storage Volume,Confluence,Node,Storage Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
26,m^3.s^-1,,Lumped,,Confluence: Confluence 5: Upstream Flow,Confluence 5,Upstream Flow,Confluence,Node,Upstream Flow,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
